'unter den linden'	'ウンテル・デン・リンデン'
'handle'	'ハンドル'
'hannibal'	'ハンニバル'
'harmonia'	'ハルモニア'
'harmonica'	'ハーモニカ,ハモニカ'
'harmony'	'ハーモニー'
'harris'	'ハリス'
'harrison'	'ハリソン'
'harte'	'ハート'
'harvard'	'ハーバード'
'harvey'	'ハーベー'
'hat'	'ハット,ハツト'
'hatta'	'ハッタ'
'hauptmann'	'ハウプトマン'
'hawthorne'	'ホーソーン'
'heavy'	'ヘビー'
'hebraism'	'ヘブライズム'
'hector'	'ヘクター'
'hedin'	'ヘディン'
'hedonism'	'ヘドニズム'
'hegel'	'ヘーゲル'
'heine'	'ハイネ'
'helene'	'ヘレーネ'
'heliotrope'	'ヘリオトロオブ,ヘリオトロープ'
'helium'	'ヘリウム'
'hell'	'ヘル'
'hellenism'	'ヘレニズム'
'hello'	'ハロ'
'helmet'	'ヘルメット'
'help'	'ヘルプ'
'hepburn'	'ヘボン'
'hera'	'ヘラ'
'herakles'	'ヘラクレス,ヘルクレス,ハーキュリス'
'herbart'	'ヘルバルト'
'herbert'	'ヘルベルト'
'hermann'	'ヘルマン'
'hermes'	'ヘルメス'
'hesiodos'	'ヘシオドス'
'hey'	'ヘイ'
'hi'	'ハイ'
'him'	'ヒム'
'himalaya'	'ヒマラヤ'
'hint'	'ヒント'
'hobbes'	'ホッブス'
'hobson'	'ホブソン'
'hoffmann'	'ホフマン'
'holi'	'ホリー,ホーリー'
'holstein'	'ホルスタイン'
'homer'	'ホーマー'
'homeros'	'ホメロス,ホメーロス'
'honu'	'ホヌ'
'hood'	'フッド'
'hoos'	'ホース'
'horizon'	'ホライズン'
'hoss'	'ホス'
'hot'	'ホット,ホツト'
'hotel'	'ホテル'
'hound'	'ハウンド'
'house'	'ホイス'
'huey'	'ヒューイ'
'huguenot'	'ユグノー'
'humanity'	'ヒユーマニチー,ヒューマニチー'
'humboldt'	'フムボルト'
'hume'	'ヒューム'
'humor'	'ユーモア'
'humorist'	'ユーモリスト'
'hundred'	'ハンドレッド'
'hungarian'	'ハンガリア'
'hunt'	'ハント'
'hurrah'	'フラー'
'husband'	'ハズバンド'
'hyacinth'	'ヒヤシンス,ヒアシンス'
'hyde'	'ハイド'
'hysteric'	'ヒステリック'
'hysterical'	'ヒステリカル'
'hysterie'	'ヒステリー,ヒステリイ'
'iceland'	'アイスランド'
'ideal'	'アイデアル'
'idealism'	'アイデアリズム'
'idealist'	'アイデアリスト'
'iesous'	'イエス,イヱス'
'ikra'	'イクラ'
'illich'	'イリイッチ'
'illinois'	'イリノイ'
'illumination'	'イルミネーション'
'image'	'イメージ'
'income'	'インカム'
'individual'	'インジヴィジュエル'
'indus'	'インダス'
'influenza'	'インフルエンザ'
'initial'	'イニシャル'
'inkstand'	'インクスタンド'
'innocent'	'イノセント'
'inspiration'	'インスピレーシヨン,インスピレーション'
'iodate'	'ヨテェート'
'ion'	'イオン'
'iran'	'イラン'
'iris'	'アイリス,イリス'
'ironical'	'アイロニカル'
'irving'	'アービング'
'isaac'	'アイザック'
'isaiah'	'イザヤ'
'ism'	'イズム'
'iso'	'イソ'
'israel'	'イスラエル,イスラヱル'
'italian'	'イタリアン'
'ivan'	'イヴァン,イバン'
'ives'	'アイヴス'
'ja'	'ヤー'
'jack'	'ジャック'
'jacket'	'ジャケツ,ジャケット'
'jackson'	'ジャクソン'
'jai'	'ジャイ'
'jakob'	'ヤコブ,ヤコフ'
'jam'	'ジャム'
'jamaica'	'ジャマイカ'
'jambo'	'ジャンボ'
'james'	'ジェームス,ゼームス'
'jan'	'ヤン'
'janes'	'ジェーン'
'japan'	'ジャパン'
'jaque'	'チヨツキ'
'jay'	'ゼー'
'jehovah'	'エホバ,ヱホバ'
'jena'	'イェーナ'
'jerry'	'ジェリー,ジェリ'
'jew'	'ジュー'
